,id_scenario,threshold,metric,value_metric,acc_test,acc_train_mean,acc_train_sd,log_loss_test,log_loss_train_mean,log_loss_train_sd,portion_pos,portion_unpr
0,0,"[0,5) 
 [-3.51,-0.64)",Equalized Odd,0.15757691997475526,0.8347767336158712,0.830779326812261,0.0033915132271594,0.3521060705974942,0.360170227761988,0.360170227761988,0.10429447852760736,0.1558282208588957
1,0,"[5,10) 
 [-0.64,-0.32)",Equalized Odd,0.01943742846451839,0.8347767336158712,0.830779326812261,0.0033915132271594,0.3521060705974942,0.360170227761988,0.360170227761988,0.06756756756756757,0.16953316953316952
2,0,"[10,15) 
 [-0.32,-0.12)",Equalized Odd,0.009794640794903609,0.8347767336158712,0.830779326812261,0.0033915132271594,0.3521060705974942,0.360170227761988,0.360170227761988,0.08230958230958231,0.14373464373464373
3,0,"[15,20) 
 [-0.12,0.04)",Equalized Odd,0.06773731067097706,0.8347767336158712,0.830779326812261,0.0033915132271594,0.3521060705974942,0.360170227761988,0.360170227761988,0.09336609336609336,0.18427518427518427
4,0,"[20,25) 
 [0.04,0.18)",Equalized Odd,0.012327179901029474,0.8347767336158712,0.830779326812261,0.0033915132271594,0.3521060705974942,0.360170227761988,0.360170227761988,0.06633906633906633,0.2285012285012285
5,0,"[25,30) 
 [0.18,0.27)",Equalized Odd,0.07420802467972279,0.8347767336158712,0.830779326812261,0.0033915132271594,0.3521060705974942,0.360170227761988,0.360170227761988,0.060196560196560195,0.24324324324324326
6,0,"[30,35) 
 [0.27,0.4)",Equalized Odd,0.09400083077199689,0.8347767336158712,0.830779326812261,0.0033915132271594,0.3521060705974942,0.360170227761988,0.360170227761988,0.10442260442260443,0.41154791154791154
7,0,"[35,40) 
 [0.4,0.4)",Equalized Odd,0.2669372430573035,0.8347767336158712,0.830779326812261,0.0033915132271594,0.3521060705974942,0.360170227761988,0.360170227761988,0.32186732186732187,0.006142506142506142
8,0,"[40,45) 
 [0.4,0.4)",Equalized Odd,0.32214569372052615,0.8347767336158712,0.830779326812261,0.0033915132271594,0.3521060705974942,0.360170227761988,0.360170227761988,0.4176904176904177,0.0
9,0,"[45,50) 
 [0.4,0.4)",Equalized Odd,0.33866796574287916,0.8347767336158712,0.830779326812261,0.0033915132271594,0.3521060705974942,0.360170227761988,0.360170227761988,0.4700122399020808,0.0
10,0,"[50,55) 
 [0.4,0.4)",Equalized Odd,0.31165291600379835,0.8347767336158712,0.830779326812261,0.0033915132271594,0.3521060705974942,0.360170227761988,0.360170227761988,0.44143033292231815,0.0
11,0,"[55,60) 
 [0.4,0.4)",Equalized Odd,0.26688495392947365,0.8347767336158712,0.830779326812261,0.0033915132271594,0.3521060705974942,0.360170227761988,0.360170227761988,0.4699386503067485,0.001226993865030675
12,0,"[60,65) 
 [0.4,0.4)",Equalized Odd,0.33416980599560697,0.8347767336158712,0.830779326812261,0.0033915132271594,0.3521060705974942,0.360170227761988,0.360170227761988,0.44157441574415746,0.0
13,0,"[65,70) 
 [0.4,0.4)",Equalized Odd,0.3564597923206955,0.8347767336158712,0.830779326812261,0.0033915132271594,0.3521060705974942,0.360170227761988,0.360170227761988,0.4963144963144963,0.0
14,0,"[70,75) 
 [0.4,0.43)",Equalized Odd,0.3666109648939577,0.8347767336158712,0.830779326812261,0.0033915132271594,0.3521060705974942,0.360170227761988,0.360170227761988,0.5012285012285013,0.11547911547911548
15,0,"[75,80) 
 [0.43,0.64)",Equalized Odd,0.1974025974025974,0.8347767336158712,0.830779326812261,0.0033915132271594,0.3521060705974942,0.360170227761988,0.360170227761988,0.05405405405405406,1.0
16,0,"[80,85) 
 [0.64,0.79)",Equalized Odd,0.234955185659411,0.8347767336158712,0.830779326812261,0.0033915132271594,0.3521060705974942,0.360170227761988,0.360170227761988,0.04054054054054054,1.0
17,0,"[85,90) 
 [0.79,0.95)",Equalized Odd,0.12833296727432464,0.8347767336158712,0.830779326812261,0.0033915132271594,0.3521060705974942,0.360170227761988,0.360170227761988,0.03562653562653563,1.0
18,0,"[90,95) 
 [0.95,1.07)",Equalized Odd,0.21080064150012337,0.8347767336158712,0.830779326812261,0.0033915132271594,0.3521060705974942,0.360170227761988,0.360170227761988,0.051597051597051594,1.0
19,0,"[95,100) 
 [1.07,1.11)",Equalized Odd,0.1389997806536521,0.8347767336158712,0.830779326812261,0.0033915132271594,0.3521060705974942,0.360170227761988,0.360170227761988,0.40417690417690416,1.0
20,0,"[0,5) 
 [-3.51,-0.64)",Equalized Opportunity,-0.31346423562412346,0.8347767336158712,0.830779326812261,0.0033915132271594,0.3521060705974942,0.360170227761988,0.0065244240717364,0.10429447852760736,0.1558282208588957
21,0,"[5,10) 
 [-0.64,-0.32)",Equalized Opportunity,0.0222222222222222,0.8347767336158712,0.830779326812261,0.0033915132271594,0.3521060705974942,0.360170227761988,0.0065244240717364,0.06756756756756757,0.16953316953316952
22,0,"[10,15) 
 [-0.32,-0.12)",Equalized Opportunity,0.0013477088948786742,0.8347767336158712,0.830779326812261,0.0033915132271594,0.3521060705974942,0.360170227761988,0.0065244240717364,0.08230958230958231,0.14373464373464373
23,0,"[15,20) 
 [-0.12,0.04)",Equalized Opportunity,-0.13006993006993,0.8347767336158712,0.830779326812261,0.0033915132271594,0.3521060705974942,0.360170227761988,0.0065244240717364,0.09336609336609336,0.18427518427518427
24,0,"[20,25) 
 [0.04,0.18)",Equalized Opportunity,0.011904761904761862,0.8347767336158712,0.830779326812261,0.0033915132271594,0.3521060705974942,0.360170227761988,0.0065244240717364,0.06633906633906633,0.2285012285012285
