,pve
0,0.10606092327800593
1,0.48698671547649786
2,0.1604756355516886
3,0.16055606428945784
4,0.392252964618916
5,-0.3068962657489256
6,-2.0555470212681644
7,0.16057504506448525
8,0.6796786802239938
9,0.486956036247599
10,0.16058156103324764
11,0.48659248172004743
12,0.6631478845289078
13,0.4866585919559272
14,0.16058864677547732
15,0.16052548020898386
16,-0.38263810364322903
17,0.9511541901103997
18,0.8904455984683524
19,0.16060216616693726
20,0.16053435259458812
21,0.5895169981864626
22,0.22976512973550756
23,-0.1982947567331106
24,0.4856797016532203
25,0.1606042870706654
26,-0.740921869905926
27,-0.7296324076281796
28,0.486949331723569
29,0.17403554588381454
30,0.16058312003888686
31,0.834821238933423
32,0.15589057585066923
33,0.48669453714023797
34,0.4004942551753823
35,0.48672810132714645
36,0.160390570455535
37,-0.1410958901002799
38,0.17298426196029165
39,0.36726048957199087
40,0.1605696168584408
41,0.1605716834555473
42,0.48698390305278183
43,0.48659076184869515
44,0.2868006054292308
45,1.905895690920641
46,0.48704464174874096
47,0.4869819087201389
48,0.8634047673621198
49,0.35504402463682605
50,-0.4869841749233157
51,-0.1270684077206049
52,0.20672515731511643
53,0.09740408770535448
54,0.4632919105323309
55,0.47462718670079973
56,0.486947125291941
57,0.16053154669705813
58,0.16060272613384274
59,0.4869739314504877
60,0.14589388428675854
61,-0.34673332957685576
62,0.386481034049041
63,-0.40007157870922416
64,0.785710130787487
65,-0.03257992080586258
66,0.16056953032286084
67,-0.45618666727166335
68,0.0011115966010833978
69,0.4868577060189662
70,0.16057600717103895
71,0.4867498118925862
72,0.48693355643381625
73,0.02305697434676024
74,0.4870202173084131
75,0.2010160597271572
76,0.48689051877391404
77,0.4868570128948252
78,0.48692135966515554
79,0.6773897706285444
80,0.4867967068372942
81,-0.18553625116600414
82,-0.4158615607111178
83,0.16046562006893855
84,0.4869933483573317
85,0.2416134679115689
86,-0.07863224826126691
87,0.16059729013622112
88,0.17464790717572293
89,1.9061264507892501
90,-0.011140938014370994
91,-0.2085552587528584
92,1.905167441016562
93,-0.4144771214299773
94,-0.1251809624984711
95,0.3594283345683641
96,-0.12875623998210006
97,0.48700809992805416
98,0.16058696010272466
99,0.6771514829914591
100,0.948625716137798
101,0.9216855763306324
102,0.089390453557467
103,0.8308137963970138
104,0.8740804028676981
105,-0.07179649716980574
106,0.4868256300466859
107,0.2707306725354841
108,0.24251241156273012
109,0.5945899788948941
110,-0.7994341615642679
111,0.4869018383495446
112,0.1605712798384608
113,0.42102838213301164
114,0.4868476475968717
115,0.020336962695202743
116,0.4869613019585261
117,0.511806418449609
118,0.9150100193198275
119,1.4778971307428228
120,0.8424291798916347
121,0.6468066662555898
122,-0.8414136902023707
123,0.17656564635420546
124,0.6482792941200581
125,0.8416665828043571
126,1.897759795202255
127,-0.23056071865942995
128,0.1606005874808591
129,0.16050955439925216
130,0.4856947250884964
131,0.22812907677655725
132,0.4544355622206746
133,0.16051688965248723
134,0.48691382955713264
135,0.3987535599947615
136,0.1605815609942882
137,0.4868906322631426
138,0.9494737378984206
139,0.4870102795676111
140,0.486311575868957
141,0.4440226154910317
142,0.16060078208890968
143,0.16060254103027602
144,0.32969649497513753
145,7.917006464697174e-05
146,0.7309141556973144
147,0.1605272577218234
148,0.16053957746938885
149,-0.9135227555964326
150,-0.2717023466776607
151,0.9497035017482284
152,0.4868751861890072
153,0.27945396069834627
154,0.1605425984864117
155,0.48699076335263225
156,0.1624442354692071
157,-0.6432692658849625
158,0.8827168571220115
159,0.1307650511547538
160,0.4865466161167785
161,0.48661334690879926
162,0.48699035469685403
163,-0.04163909912805219
164,0.16054283245100506
165,0.1605728374854003
166,0.16057452902483355
167,0.4869760993268885
168,-0.12625252820212807
169,-0.22774115791236205
170,0.1605557380951776
171,-0.5007941288519752
172,0.6470362654267792
173,0.48697059757898314
174,0.8972277453708131
175,0.16058244804527902
176,0.4867385242259041
177,0.4867217398967307
178,0.1605710450886105
179,0.16058336277776672
180,0.16008837343487448
181,0.1605790818088796
182,1.471268075232756
183,0.4661470006268057
184,0.7549569818389142
185,0.4867381364902358
186,-0.23127703410303357
187,0.20289645022261887
188,0.3613513558806507
189,0.2025334899060095
190,0.1605959246749426
191,-0.423798555560303
192,0.8816680000717345
193,-0.8043096546423586
194,0.6425626861829103
195,0.569259535881859
196,0.33881591432202973
197,1.8900354749892105
198,-0.10753211025355536
199,0.16057657721445337
200,0.16055593414329686
201,0.4867898303201699
202,-0.1304123913303452
203,0.8591997161497181
204,0.16054496929595866
205,0.48664410595466634
206,0.4870265494123239
207,0.4870084564419498
208,1.8994330378735287
209,0.16054808838744358
210,-1.0006496831807938
211,-0.013363337418535903
212,0.2717954453825333
213,0.4867675658576224
214,0.2835454087355469
215,0.486826722932366
216,-0.0726027820667704
217,0.32881281926855077
218,0.1365030954039037
219,0.21117795381311888
220,0.485427228699861
221,-0.03124044906483392
222,-0.04594839262555539
223,0.16058440947430105
224,0.16060074699844662
225,0.4869074385020125
226,0.16031656327690874
227,0.4869540141859205
228,0.4964566221092533
229,0.4865933356846954
230,-0.4383335944893505
231,0.4862478847703473
232,0.7883607709858456
233,0.16053814781619397
234,0.486743276447667
235,0.34289442991856356
236,0.48685077570866286
237,0.901033425427757
238,0.24018617716283053
239,0.48680234186743954
240,-0.08265448968662059
241,0.4870311603051029
242,0.4536384106999019
243,0.48696930261489324
244,0.07349820606573432
245,0.9368396672744509
246,0.486970874266851
247,0.27253902950302855
248,0.1606006512600931
249,0.48685395339939175
250,-0.7495029021488232
251,0.2011646757689327
252,0.16040990230974853
253,-0.6383790033773481
254,0.2624016404842981
255,0.01768124014283068
256,0.18587576451655075
257,0.2833729136200699
258,0.04967574720658746
259,-0.48600709828690947
260,0.935189167577614
261,-0.9204349398235782
262,0.42099265398589436
263,0.5735404926647163
264,0.3726239727684939
265,0.16056008185240594
266,0.48672211965049994
267,0.4869447290013119
268,0.3447044607512433
269,0.9490538315836428
270,0.48698800446176027
271,0.1606050969866644
272,1.882633838935366
273,-0.0351122551899844
274,0.16055337548028764
275,-0.30689575895815957
276,-0.6318472223221433
277,0.3405777865763654
278,0.16055103410337676
279,0.07852457258968304
280,0.16059820075413359
281,0.16057577412236815
282,-0.19482473826311786
283,0.7931980571902387
284,0.48661207096313136
285,-0.379142507206893
286,0.18343480022376346
287,0.16054576382081107
288,0.4869892988307561
289,0.2774868851339729
290,0.1606017589604461
291,0.4869663143713443
292,0.4865479151189644
293,0.8429892515455342
294,0.4865712261221819
295,-0.3730467568890342
296,0.160595492401201
297,0.017630819155476707
298,0.14585917843746452
299,0.23038292636300045
300,0.16057203374965273
301,0.2691662135175076
302,0.8923615049432099
303,-0.8043735010525683
304,0.2125825386230244
305,-1.3059185931378727
306,0.7896264195785798
307,-0.7416692559997332
308,0.1605699083365406
309,0.4869560961549606
310,0.16058128882482806
311,0.2733773210614625
312,0.4869790279503864
313,1.1488232102429388
314,0.9502018389188367
315,-0.2216291277511553
316,-0.27086919633149364
317,0.667946843239059
318,0.16054896683882822
319,0.16055633242589096
320,-0.4645286419810929
