,pve
0,0.3673425613378701
1,0.3540742650109401
2,0.41244866552109827
3,0.29514996708757024
4,0.5169269292935913
5,-0.06318899133985145
6,-0.15562077750687942
7,0.0934463986745791
8,0.021145646752708025
9,-0.09671296909373184
10,-0.5915807500159662
11,0.2689060720062223
12,0.1850221697630333
13,-0.048429672511776545
14,0.21621968083655
15,-0.27157943994227285
16,-0.19191807966501662
17,-0.09577132692517099
18,0.26600995509422243
19,0.9152301210625355
20,0.35924267141450517
21,0.383863073673857
22,0.3387875952973981
23,0.38943132814061054
24,0.3117423947850637
25,0.26976599278294455
26,0.41043053269641816
27,0.0934463986745791
28,0.33781382119553993
29,-0.8513780220874345
30,0.31424013043167676
31,0.3399080589630354
32,0.5726836896625935
33,-0.10051841097933545
34,-0.0314991009944674
35,-0.3252307475835924
36,0.6147064603053276
37,-0.007501044147588898
38,-0.3174511262560695
39,-0.05269681799174675
40,0.42661819998085815
41,-0.4780043060248321
42,0.21565748517639263
43,0.0816717951298005
44,0.806948136212965
45,0.13928244627427439
46,0.4197789449012673
47,-0.29358726752554176
48,0.20568758802173087
49,0.1812652019340888
50,0.2898990487470948
51,-0.16032446401055456
52,-0.13201901208744216
53,0.9924716155635087
54,0.5232684924888982
55,0.35666008171607677
56,0.3065634356002292
57,0.1340083743876178
58,0.11739583198410808
59,0.0071093457425268625
60,-0.1395849345061979
61,0.12625903874547967
62,0.025013345623337735
63,0.4901326726776223
64,-1.4048962499232955
65,-0.19262424074669537
66,0.7005737498688248
67,-0.5044538801626196
68,0.35506999856184124
69,0.5586537241917073
70,0.3606368304755556
71,0.3759098348190053
72,-0.0314991009944674
73,0.26464532927377044
74,0.3645609256525727
75,0.3663609871308703
76,-0.01366357350234887
77,0.35959691718120596
78,-0.28413035717875645
79,-0.1388563483467904
80,-0.11513840322793711
81,-0.7305559886743198
82,-2.0863005469093725
83,0.35238173083550445
84,0.37910030658402827
85,0.344049320815933
86,0.1992025159997789
87,-0.25464121506598003
88,0.16064141652705094
89,-0.15918759913576597
90,-0.2713377191581603
91,0.23200764902862475
92,-0.010889053218227085
93,0.42088711743247365
94,0.3069456451185104
95,0.027101427637570508
96,0.2476476862377649
97,-0.17809821508657808
98,0.10156292074802031
99,0.025013345623337735
100,0.10169326299187176
101,0.32150839356053085
102,-0.22785459844227285
103,0.07193304289454189
104,0.07257259532664173
105,0.8409840895962368
106,0.7546811708888982
107,0.49962898302444825
108,0.23718188126523498
109,0.035156831294884394
110,0.3132216222722409
111,0.347056148272194
112,0.8373325660628415
113,0.36006540759770467
114,0.05700259212562825
115,-0.08775854840116537
116,0.040895531156497134
117,0.5946108086287198
118,-0.14283834747878266
119,0.8338118990643127
120,0.1645769582228428
121,-0.012420527644201651
122,0.5922859859700471
123,0.3023967283199954
124,0.20675985710800976
125,-0.021360849256098713
126,-0.10092635369502301
127,-0.11572023299120804
128,0.37891655739001034
129,0.4180785200809813
130,-0.29828052031764973
131,0.6108107621040726
132,0.7190667538576083
133,0.009121799383599583
134,0.4385264960436599
135,-0.6582630821109117
136,0.08696090205429602
137,0.10469261659179846
138,0.36182749039425754
139,0.2336211427864324
140,0.24219610292236304
141,0.6621923826488032
142,0.3286358671060925
143,0.3248374893208404
144,0.17826473802998274
145,-0.20043024114370755
146,0.20645100188612509
147,0.6366003949401295
148,0.20373394730819813
149,0.37499249101502524
150,-0.025278207030332567
151,0.11535808953486609
152,0.5589882257254505
153,0.2714289574428429
154,0.017384630937825607
155,0.027101427637570508
156,0.4913029428819966
157,-0.10303982098780495
158,0.18608546712137103
159,-0.25425756040296454
160,-0.0619302077597389
161,0.3715083768310656
162,-0.23478053362809714
163,0.9447887091363136
164,-0.1447857028198638
165,0.1693682526718152
166,-0.4401228590565577
167,-0.7970722509742033
168,0.3415342637665146
169,-0.013157032235852573
170,0.5363005586719707
171,-0.031318684426165866
172,-0.7055249826515293
173,0.11118676824674134
174,0.998987674784965
175,0.13227545589234257
176,-1.1065798204081028
177,0.4901326726776223
178,0.016377070818155093
179,-0.10936693570984146
180,0.4197789449012673
181,0.24073117692951188
182,-0.13432692423549086
183,0.15855963031714188
184,0.3964513536540306
185,0.1124526111310612
186,0.5368848129391677
187,-1.0429861993996568
188,0.21415213553796536
189,0.20261939615320457
190,0.46548210511105226
191,0.35544942034919635
192,0.8373325660628415
193,0.011395326244985404
194,0.38446206461934707
195,0.4901326726776223
196,0.3561740496035355
197,-0.82835054514987
198,-0.022044825449658245
199,-0.1350716890602338
200,-0.576446463646493
201,-0.2220355334016142
202,0.41593643327550245
203,-0.09480310147164928
204,0.37861199491385883
205,-0.48909854656492524
206,-0.12117486370382191
207,0.5247919177195494
208,-0.5941462822219522
209,-0.28544663659588254
210,-0.16011610857003322
211,-0.03065881570012219
212,-0.013157032235852573
213,-0.13432692423549086
214,0.0855941340235854
215,0.2016790021704264
216,-0.053858078601788206
217,-0.26485521375290044
218,0.9624446142981491
219,-0.5581056406940212
220,0.6420034752087398
221,0.4620188159720121
222,0.3569022879746907
223,-0.27086542259618573
224,-0.5204515128600572
225,0.00848803048068536
226,-0.1814027382693505
227,0.07128486847395021
228,0.18434319189481418
229,0.3228160400882485
230,0.17492931050695643
231,0.44606533042157126
232,-0.25833841341324204
233,0.13246106413631353
234,0.24416409014865026
235,0.5626285881087365
236,-0.08353661366954035
237,-1.3401895160400796
238,-0.21574277710008627
239,-0.6453886681952682
240,0.5101612675874649
241,0.24036755386176933
242,0.1720938336862158
243,-0.3023591406250905
244,0.24911896166540215
245,0.5119134549130122
246,-0.15581569629395142
247,0.25657606346628836
248,0.4074886010137403
249,0.32409153689308606
250,-0.16192384089608436
251,-0.01366357350234887
252,0.10074776791681933
253,0.37949126589533266
254,0.7131004045613336
255,-0.06941903156260043
256,0.2720409871104451
257,-0.2794436429853495
258,0.40501865060403347
259,0.48891472884071563
260,0.01484794067694023
261,0.0816717951298005
262,0.35078324900651703
263,0.0855941340235854
264,0.3837827967767097
265,-0.13056734145794813
266,-0.047682321598433275
267,0.025013345623337735
268,0.998987674784965
269,0.3663609871308703
270,-0.6304072427048447
271,0.11739583198410808
272,-0.009724567543161533
273,-0.14585427578227472
274,0.1574435874968001
275,0.5450353029981942
276,-0.06793504040730247
277,0.2739189694986417
278,0.30184036470115894
279,-0.28544663659588254
280,-0.10799331705436666
281,0.8067218383122732
282,0.23525555053241964
283,0.3264937899884103
284,0.6257416417549477
285,-0.25425756040296454
286,0.36818617234624246
287,-0.4411905650368957
288,0.15691972943658306
289,0.18013593817412688
290,0.07432281388889095
291,0.34548297407337
292,0.2231961862056009
293,-0.6237096754029143
294,0.1654545090450823
295,0.41593643327550245
296,0.20955802339172208
297,0.09793808331913406
298,0.37910030658402827
299,0.4016259479763926
300,-0.094063267576181
301,0.3774898895286055
302,0.2552423436024722
303,-0.40484560691574545
304,0.01442281225207026
305,0.12393704939160066
306,-0.03792659609251592
307,0.2850223665122782
308,-0.21354779263581736
309,0.1574435874968001
310,-0.15455629271347315
311,0.4725709366112537
312,-0.1871285731700103
313,-0.4821305317284963
314,0.400118305026787
315,0.2790403819541002
316,0.5536073937420671
317,-0.6244000030458535
318,-0.37867736746923675
319,0.4901326726776223
320,0.022093287798057526
321,-0.30517469482064763
322,-0.438254155414433
323,0.840183473799443
324,0.0829834509765463
325,0.3606368304755556
326,-0.21640483544431333
327,-0.34537551061707816
328,-0.1192472196956279
329,0.08769248985913852
330,-0.1654318386825655
331,-0.5533540531864017
332,0.29334019634227326
333,0.02331261184338468
334,0.3973093927141862
335,-0.12311883184461192
336,0.34144388289033756
337,0.08982021701061771
338,-0.09032922554959144
339,0.2954800862945932
340,-0.10799331705436666
341,0.025013345623337735
342,0.5003640252986997
343,0.8740011314830101
344,0.10225440901880811
345,0.170833128048121
346,0.3633851238655228
347,0.07627815952621292
348,0.344049320815933
349,0.3184235720469837
350,0.29334019634227326
351,-0.13097992720820817
352,0.2705944690850155
353,0.520493774308312
354,0.39099722229542605
355,0.6921967040196949
356,0.3813084442328719
357,-0.2350131345432348
358,-0.3390297936611444
359,-1.2293827341987937
360,0.37052904556323507
361,0.3426541424128117
362,0.4901326726776223
363,0.4901326726776223
364,-0.07367784228959118
365,0.06543409484562646
366,0.36177651792914817
367,0.1561482416568869
368,0.36701880604971043
369,-0.04720313235329132
370,0.23832205698244804
371,0.1458231891867241
372,0.3967536434195742
373,-0.0974458422243405
374,0.2039032846597606
375,0.26111668441262337
376,-0.3904094736680286
377,0.38430799266824983
378,0.24073117692951188
379,-0.913298595658134
380,-0.008955395954421352
381,-0.05986593451756517
382,0.28065499709499864
383,0.7414765862387854
384,0.46360486955354385
385,-0.059469729655219294
386,0.0816717951298005
387,-0.2588850577905688
388,-0.09663288696388317
389,-0.334212365867646
390,0.2818153417768221
391,0.30951123221132953
392,0.36332806012982144
393,-0.438254155414433
394,0.16676302958841382
395,-0.516459240544838
396,-0.6188038321043555
397,-0.4221491408685394
398,-0.4612204808762157
399,0.00848803048068536
400,-0.5147917440249877
401,-0.26298059772555993
402,0.19877526801194328
403,0.12522206718737516
404,0.10358701612746235
405,0.36167476978716884
406,-0.2560342188457443
407,0.11308815921981596
408,-0.5359804333572753
409,0.20021751786500636
410,-1.4818302801005203
411,0.12175535324829478
412,0.029677915011946165
413,0.1467508458668625
414,-0.3255620032819949
415,0.7220490243438585
416,-0.15852826646207718
417,0.3415342637665146
418,0.33904678139795197
419,-0.2723792007040351
420,0.36189159493017
421,0.3400772274276096
422,-0.025867845855596427
423,-0.41606601154745726
424,-0.3496742304782252
425,-0.02222296317653516
426,-0.5032333268874483
427,0.3303742246442878
428,0.3715083768310656
429,-0.17227185963222857
430,0.05891412216598518
431,-0.8372849901397982
432,0.00848803048068536
433,0.3996508767195663
434,0.20560441479536107
435,0.3498238194837163
436,-1.3689138012440047
437,0.23821012047569298
438,-0.17132863526787312
439,0.39143852719403405
440,-0.13072324009896685
441,-0.42257002255014486
442,-0.4977899286026344
443,0.37949126589533266
444,0.8373325660628415
445,-0.21508732404881514
446,0.31664289429188186
447,-0.012420527644201651
448,0.20645100188612509
449,0.3715083768310656
450,0.394906360397019
451,-0.07190002833747888
452,0.14953646838941093
453,0.18158530117518787
454,-0.4881662485831484
455,-0.10208385588718738
456,-0.050949804237202634
457,0.10175488415691392
458,0.13689880293802004
459,-0.07731927590757348
460,0.33133307025819553
461,0.14489111683456368
462,-0.3689277580436098
463,0.35812670220915
464,-0.019818173600876565
465,0.2127062185407419
466,0.1460205189716658
467,-0.050338668787163865
468,-0.5838104051765634
469,-0.2866564793567983
470,-0.024304147893274175
471,0.3567838811675833
472,-0.4929427939319009
473,-0.3293257210912781
474,0.6470836471317603
475,0.06979019636186284
476,-0.7727510227616837
477,0.4627036752609157
478,-0.14871585027525847
479,0.27655898647320487
480,0.28039121673109246
481,0.3410611660447598
482,0.39947093128623795
483,0.36286464301158916
484,-0.10829808515777772
485,0.04848135198640624
486,-0.12050537832667696
487,0.16844224878474423
488,0.601681447071093
489,-0.09795733174367449
490,0.30951123221132953
491,0.044649913664706664
492,0.07627815952621292
493,-0.268782092204944
494,0.36701880604971043
495,0.034644841224255374
496,0.23691012923554003
497,0.09303959174472165
498,0.30490771529973804
499,-0.10829808515777772
500,0.31624695305086387
501,-0.06980492243397518
502,-0.17086406263672205
503,0.30899663380098097
504,-0.19640723406553917
505,0.22913341027352138
506,-0.8447082336028857
507,0.31856392561745117
508,0.39165662063557244
509,0.2722122153181542
510,0.26584978959530214
511,0.3953190282225386
512,-0.027668958226419627
513,0.05864177555274441
514,-0.004457930073866856
515,-0.35323323020945163
516,0.37252673538209063
517,-0.22608251254379863
518,0.1645769582228428
519,-0.0007568440233283735
520,-0.061123088082360444
521,0.5892468280609887
522,0.28364865860966937
523,0.1466588956481239
524,-0.13725536989340492
525,0.025013345623337735
526,-0.0954694238396504
527,0.19138646686219943
528,0.059158857595880965
529,0.16128623566397704
530,0.027450064044997002
531,-0.17596451432226834
532,0.24205992620602323
533,0.2142354524233107
534,-0.5792175939836799
535,0.3780260744025873
536,0.7295707538530338
537,0.10519093152603082
538,0.008600128299675436
539,0.11667996554637461
540,0.2799658392159329
541,-0.3597059354191856
542,0.23164940360745834
543,-0.6112780658406054
544,0.34589909027028165
545,-0.2586279287497171
546,0.5626285881087365
547,-0.4730350181135037
548,-0.16662648591083606
549,-1.4632198169789066
550,0.3415342637665146
551,0.23096544046027115
552,-0.2537743915496661
553,0.028400477406933078
554,0.1921046721687547
555,-0.2465280220028534
556,0.3498238194837163
557,0.3645609256525727
558,0.3016590080513565
559,0.23821012047569298
560,-0.3597059354191856
561,0.45430464471459475
562,0.062408552114493254
563,0.4337497180642016
564,0.8053899806284353
565,0.3274080792074252
566,0.316696366116636
567,0.27028323342393
568,-0.012420527644201651
569,0.08995557951574451
570,0.6398286267589515
571,0.09276140478324302
572,-0.11356299715901019
573,-0.04143707271640035
574,0.23096544046027115
575,-0.8428072720892971
576,0.1698933475274786
577,0.37260458232692395
578,0.7593422921568506
579,0.14177208400793173
580,0.34503062119147665
581,0.15128665936833702
582,0.1645769582228428
583,-0.16192384089608436
584,0.3876166028796778
585,0.12686648012448465
586,-0.15998364813226473
587,0.7498934598936425
588,0.01883239083548327
589,0.24143899296378102
590,0.36623002721653386
591,0.2771956565665097
592,-0.09322217038949088
593,0.1587396874530786
594,0.2578843248048607
595,-0.10208385588718738
596,0.23832205698244804
597,-0.23585655882868894
598,-0.9571671864289266
599,-0.5520961936946933
600,0.004717545706422688
601,-0.050338668787163865
602,0.34648623440982074
603,0.5703282278196833
604,0.00848803048068536
605,0.09745685464096143
606,0.03638121260514304
607,0.4522277173461188
608,0.20559111402897717
609,0.09439639675599726
610,0.39167110646278047
611,-0.11338947857177784
612,0.16128623566397704
613,0.5402552724443036
614,-0.3904094736680286
615,0.16958562588044068
616,0.0855941340235854
617,-0.04625451860597796
618,0.42661819998085815
619,0.3248374893208404
620,0.3551939526444407
621,0.21582343012906813
622,0.18353145184197228
623,0.3646807244591168
624,-0.3856328935309742
625,0.5892468280609887
626,0.3996444808194552
627,0.36699648061320794
628,0.3953370183606235
629,0.4824076549871642
630,0.08995557951574451
631,0.3967536434195742
632,0.24423065309645273
633,0.15791110332545527
634,0.3261616398920347
635,0.3379695626493523
636,0.23200764902862475
637,0.49962898302444825
638,0.20675985710800976
639,0.14335652029921003
640,0.0855941340235854
641,0.28622462709463087
642,0.07260252325101046
643,0.8742149114433273
644,0.07426226254337098
645,0.1205000310512635
646,-0.44266591879165185
647,0.29866578467673155
648,0.3828736502053564
649,-0.14598386414037146
650,0.5947780366291855
651,0.3969052229967791
652,0.35823173991586493
653,0.2502854040729098
654,-1.7464025161101788
655,-0.09799792754128034
656,0.1825230171597187
657,0.04119797771218475
658,-0.5569542637007052
659,0.31977383170281504
660,0.7226524590203081
661,0.42818634481663687
662,0.3936615308301334
663,-0.3252307475835924
664,0.28582125565278654
665,0.08410604448234943
666,0.26871996854590097
667,0.2702347578353317
668,-2.1490176519465756
669,0.14091170016190496
670,0.4077536590867028
671,-0.040303447115385915
672,0.37949126589533266
673,0.222704230184077
674,0.3293724733294534
675,0.12311603749092542
676,0.2750922283088036
677,0.9562264938093669
678,-0.355859376380824
679,0.25500411757306796
680,-0.4534435170164922
681,0.12247487325628481
682,0.840183473799443
683,0.29334019634227326
684,0.6512967462045629
685,-0.5662885712845368
686,-1.001065904804983
687,0.13498271077846802
688,0.5069339986280962
689,0.7393736736602151
690,0.24073117692951188
691,0.4049332083581133
692,0.343793760670384
693,0.33184100058350696
694,0.6272746842570427
695,0.20021751786500636
696,0.16064141652705094
697,-0.20043024114370755
698,0.4901326726776223
699,0.48710674502554896
700,0.3640596696475934
701,-0.3819588429817147
702,0.1057119180074707
703,-0.23300332443253768
704,0.355437294951396
705,0.5093343141341145
706,0.3534535273095735
707,-0.06866183656690106
708,-0.13626129332465342
709,0.3768697421276816
710,0.020356129203528084
711,0.24844021957926743
712,0.3742469024900745
713,-1.3940993791923801
714,-0.5892921717114447
715,-0.06816429288926029
716,0.16980299920591801
717,-0.3063087510273137
718,0.3241485007570786
719,-0.04143707271640035
720,0.012460204155009702
721,0.2902270681027464
722,0.20871756332578806
723,0.19443794840077144
724,0.18158530117518787
725,0.10390768329423289
726,-0.24987029379368675
727,-0.008427030076883946
728,-0.8229389552021683
729,-0.04720313235329132
730,0.22310604368740955
731,0.4921051855302345
732,0.39035422164411526
733,0.10169326299187176
734,0.12531450938562205
735,-1.08287666695673
736,-0.5476370818529658
737,0.030751131855837333
738,0.3069456451185104
739,-0.027631387552858877
740,0.4048867238451661
741,-0.17944232962822504
742,-0.30517469482064763
743,0.07806127013048858
744,-0.050338668787163865
745,0.04309729515857663
746,0.011907715788284257
747,0.17598217883312206
748,0.3663609871308703
749,-0.04438818221743279
750,-0.3203203681059954
751,-0.4235603855682857
752,0.2507750638393528
753,0.25827030586058813
754,-0.15455629271347315
755,0.3706332564290995
756,-0.133929380200294
757,-0.406926257704764
758,0.04279155380855992
759,-0.35692003776561654
760,0.1052371771397892
761,0.18158530117518787
762,0.3737527054240791
763,-0.38952717230433487
764,0.28047438388112755
765,0.42806648425967087
766,-0.11477343458593359
767,-0.3680073557973389
768,-0.2410127401738722
769,-0.46271428975361983
770,0.30398247755390917
771,0.21866625701458794
772,-0.01682119223376488
773,-0.26147102484725093
774,-0.15852826646207718
775,0.07260252325101046
776,0.2074375864052932
777,0.30143658225173553
778,-0.38456596342727134
779,0.1992025159997789
780,0.4536235031973025
781,0.24445563949285853
782,-0.08886566559774134
783,0.20021751786500636
784,-0.5430603000729172
785,0.2725152391199721
786,0.3510083456513168
787,-0.6866971572991114
788,-0.15852826646207718
789,0.30490221144836777
790,0.21986788778436728
791,-0.05411594467258252
792,0.016044708314695844
793,0.3145629268351028
794,0.7714490852908771
795,0.44675303390050747
796,0.8479769314652508
797,-1.3737838586460485
798,-0.2598753185292626
799,-0.04258000594868194
800,0.5931250154356911
801,0.33651991200392406
802,0.05394123300636555
803,0.36178541781563855
804,0.5761833728239927
805,0.44070882963137215
806,0.4016259479763926
807,0.30268517102894066
808,-0.15562077750687942
809,0.49444538390482273
810,0.3826491065266713
811,0.4725709366112537
812,-0.585670102603869
813,0.16726738662359386
814,0.1367055272904299
815,-2.029533366791653
816,-0.7727510227616837
817,0.41585461005824276
818,0.3921020814555841
819,-0.5301484686274446
820,0.4089039917562391
821,0.332373744636429
822,0.3576862978252966
823,0.31668684834076055
824,0.3660254805747809
825,0.29290020769239333
826,0.36250930606337667
827,0.0639568061922543
828,0.01694117325613309
829,-0.7253940561559403
830,0.15999493931060293
831,0.24589086313536196
832,0.5363005586719707
833,0.2526380794734232
834,0.653008999973973
835,0.3708831507757274
836,-0.15408153256811308
837,0.5912309287954469
838,0.30573318580382924
839,0.3305401835450848
840,-0.04839785594166157
841,0.00848803048068536
842,-0.027631387552858877
843,0.1950942363886221
844,-0.08382430742236424
845,0.4785499085017909
846,-0.3751569434567965
847,0.07426226254337098
848,0.2793715592909368
849,-0.5707182287012927
850,0.39478267069885764
851,-0.04143707271640035
852,-1.116894443875485
853,0.16267528240871132
854,0.2720409871104451
855,0.5278896858183388
856,0.18212839363980882
857,0.33891283765561186
858,0.05090968797964934
859,-0.14670588416342856
860,0.42287629321629283
861,0.23682249617788972
862,0.23412590015715787
863,0.33990961510171847
864,0.2965711651087602
865,0.26283850548744037
866,0.3917125618062133
867,0.179801250792756
868,0.38525599111325054
869,0.02595468196077566
870,0.3969052229967791
871,0.3108131287129159
872,0.4057384968466545
873,-0.020254078929570374
874,0.6566942266902753
875,0.5730480695423232
876,-0.055921001107080426
877,0.6275352077195568
878,0.3348385877741491
879,-0.08478199886990845
880,0.2997603517311316
881,0.39593193554770445
882,0.15376128911613945
883,0.36355847349539727
884,0.2863412214092469
885,0.2228361518672158
886,0.16267528240871132
887,0.10191314457607192
888,0.5722688643974877
889,0.3860005917934334
890,-0.6477333841512907
891,-0.02718737037768948
892,0.27463544857690925
893,-0.29828052031764973
894,-0.17644946467104927
895,-0.012420527644201651
896,0.11335458368863793
897,0.2476476862377649
898,-0.16556071067036893
899,-0.021387090869692482
900,-0.3528424783847579
901,0.9447887091363136
902,0.29556077153635163
903,0.27655898647320487
904,-0.016686519973072966
905,0.5363005586719707
906,0.3729579687532891
907,-0.13432692423549086
908,-0.35599365543092654
909,0.3582313510631411
910,0.004717545706422688
911,-0.6184808662839748
912,-0.2038009206730319
913,1.004112109901194
914,0.31606532465405035
915,-0.705480291174941
916,0.1724131135265955
917,0.27951061334254856
918,0.34442684577673477
919,0.2899869345428185
920,-0.10208385588718738
921,0.2201719566454612
922,0.4107904548190846
923,0.0071093457425268625
924,-0.36101506374588543
925,0.1852310212274128
926,0.6564491191736628
927,0.2676688900327918
928,0.3786744677423888
929,0.38043770505389257
930,0.4656471135198734
931,0.156844264978317
932,-0.06010825417931254
933,0.1542966925726834
934,0.02867503721354453
935,-0.5753532627142204
936,0.4016259479763926
937,-0.3776253757643482
938,-0.5749472436985906
939,0.337199123728063
940,0.03981515604987185
941,0.37802318957134023
942,0.18597333730224963
943,0.07260964897221961
944,0.314629742501661
945,0.41366831081916355
946,-0.6601566794354461
947,0.04176485521227696
948,-0.10970554997654192
949,0.29428035987363155
950,0.44606533042157126
951,-0.02008829239313359
952,0.16802590506884052
