id_scenario,acc_train_mean,acc_train_sd,acc_test,f1_train_mean,f1_train_sd,f1_test,log_loss_train_mean,log_loss_train_sd,log_loss_test,demp,eqopp,eqodd
0,0.8042274992521617,0.002742766084288752,0.8102173673176652,0.8218854020107179,0.0020887912211816524,0.828838690416957,0.4399164409266489,0.003990901394642323,0.43518187906935457,-0.1805124887237226,-0.038648210226590485,0.04924552551079332
1,0.814134345206935,0.004669635310694851,0.8171687079333554,0.8323819579614987,0.003943036213957745,0.8362162696451516,0.42276203736878326,0.004836550842068112,0.42039867259022656,-0.17968643839711607,-0.02979835955398802,0.04552338770952448
2,0.8176809224112491,0.005382585401503825,0.8214719187906874,0.8347479864655997,0.004355069702665172,0.8394682012104376,0.412413761557765,0.005238783750334466,0.40955229107981733,-0.19368239164911122,-0.04055158123870428,0.04379834859239236
3,0.8184848195059132,0.004699295626884275,0.8221891206002427,0.8353374383627165,0.003036850727645472,0.8404534428988665,0.41223477829437494,0.007739968207723257,0.4071866689127627,-0.19087176034414893,-0.033544925081708366,0.0400775843189862
4,0.8132122671690477,0.004495813926771675,0.8168376917135606,0.8328647626803822,0.002580340366602665,0.8369511835772517,0.42721662747299954,0.009917345332683741,0.41606323148330226,-0.17776651245891661,-0.037313815703886144,0.0552356127627885
5,0.576179754117555,0.11962102012221763,0.526922652543308,0.7124474699562283,0.05795435338430919,0.6901759583769917,0.6578517969698127,0.08107063711371702,0.6517640486008465,0.0,0.0,0.0
6,0.8052441650937208,0.003647612926226173,0.8088933024384861,0.823235620818297,0.0027614627580919504,0.8280210505411577,0.4367789444758822,0.004391975277119283,0.43212345336085217,-0.17450044666770115,-0.03427080407082428,0.050595351644460954
7,0.8138505873867107,0.004235087019333179,0.8184927728125345,0.831645300503001,0.003939799096929577,0.8371125854044954,0.4195006766602319,0.0048414162289708695,0.4149987774068364,-0.18281968739397675,-0.03159584307705576,0.04478962514975883
8,0.8187212373002728,0.004551625439904949,0.8219684431203795,0.8342832573176292,0.00398499345673566,0.8406498444521259,0.4126517560498658,0.006896925771420145,0.4075463566626487,-0.19037008106646192,-0.03448363985254055,0.041395982580237106
9,0.8181774489783681,0.004997833002860378,0.8216374269005848,0.8354819001490151,0.003435015390054803,0.8392262171167139,0.4121404103197009,0.005934624419922177,0.4104221072226969,-0.1920861792509484,-0.03546806561591176,0.040496422994389866
10,0.8122191944670398,0.002903923631516875,0.8156239655743132,0.8343583974464548,0.003590551419477536,0.8399885090491238,0.4244782872097511,0.006740814952708905,0.423860756971026,-0.17183797403102907,-0.027975368525590016,0.050278644088542296
11,0.609665195179698,0.14225157924398424,0.47307734745669205,0.5811741389154125,0.32927292434074606,0.0,0.6351342164567247,0.08356991409884117,0.7018785796312014,0.0,0.0,0.0
12,0.80850704318112,0.0031013892496772793,0.8122586340063996,0.8261357904337654,0.0023087609163807885,0.8315429929211425,0.4325554409841034,0.0047778162480829,0.4271515955161139,-0.17608460473634335,-0.033796239103979664,0.05052761816069955
13,0.8170425127409243,0.0061964676034520095,0.8179410791128765,0.8341575053343327,0.004902357920726116,0.836552748885587,0.41576444322652023,0.006144773929163911,0.4108013136543855,-0.1834914423027188,-0.034292068361657324,0.046485032970177684
14,0.8148671861387733,0.007804466935079398,0.8187134502923976,0.8306344158895435,0.007606116631778484,0.8374072241464622,0.42670952916602023,0.013043274311138412,0.4134616520288364,-0.18898492901972436,-0.03656773322756157,0.04297946498191535
15,0.8191705077033977,0.005361344555840336,0.8223546287101401,0.8351593448715546,0.004820860689809436,0.8429421519851722,0.4137875092224081,0.007213236270456269,0.4069747958387111,-0.18157042051638117,-0.028075084066276346,0.044641046061870734
16,0.8123846148018828,0.005920492031763293,0.8176652322630475,0.8301771236385347,0.0038801293133053217,0.839633169974283,0.4301296547561731,0.007137199586080415,0.41399420814020266,-0.17448926901669104,-0.025240231035314475,0.04632857224565448
17,0.6741582385719822,0.13903033102202617,0.526922652543308,0.7507639496913161,0.0626122465587698,0.6901759583769917,0.5920154856763276,0.09952448135614186,0.6921944751272013,0.0,0.0,0.0
18,0.8118644895044214,0.004661643226306208,0.81540328809445,0.8293103311131416,0.0038643266357061986,0.8349447513812155,0.4254425843159539,0.006112116389801721,0.4217846941632828,-0.17655077853435142,-0.03258388521641897,0.050801974930408764
19,0.8184611704584486,0.005287285050750464,0.8216374269005848,0.8352897000928082,0.004255339795315549,0.8394019174407631,0.4129923386898861,0.0065677084846545745,0.4084111534344615,-0.1933838826162541,-0.04046228086087489,0.04422955668727531
20,0.8177045407093613,0.004860973138288602,0.8230166611497297,0.8339915308248416,0.004737398755554428,0.8407940446650124,0.4141439292672239,0.006678283247728316,0.4058278555704236,-0.19523696181802086,-0.04077950936289387,0.04334628540393061
21,0.8170188972382078,0.004826482465735796,0.8208650557210637,0.8328953453583094,0.0033253247158387725,0.8385781754909272,0.4269234194386591,0.007259526751235332,0.42077297103850286,-0.19119613139306846,-0.040350655388588286,0.046152247573019306
22,0.8123137235674024,0.004703533349989001,0.8203133620214057,0.8287560371286882,0.005977785287161858,0.838016611130452,0.42367546507900844,0.006278208353403306,0.4095865144515636,-0.1973854816778574,-0.047191681525150075,0.04578530239718652
23,0.4773253883342715,5.318110650877852e-05,0.526922652543308,0.0,0.0,0.6901759583769917,0.6973763185718688,0.004475736802050001,0.698430619606659,0.0,0.0,0.0
24,0.8131176262528579,0.004480101568432399,0.8165618448637316,0.8313515339018428,0.0038802628117698816,0.8362310988523863,0.42286097242850734,0.006331706154466039,0.4194292297404022,-0.17750657728052577,-0.03262385822571723,0.05049106061453236
25,0.8183193404677608,0.0043949193722429385,0.8222442899702085,0.8352201237702344,0.003950236706620588,0.8402102757389408,0.41126105244636063,0.006312769226041838,0.40573521170392585,-0.19257163997618942,-0.04124004279088944,0.04637130790046544
