,id_scenario,threshold,metric,high_low,value_metric,acc_test,acc_train_mean,acc_train_sd,log_loss_test,log_loss_train_mean,log_loss_train_sd,portion_pos,portion_unpr
0,0,"5,-0.74",Equalized Odd,High,0.15442546566030796,0.8166574534733738,0.8000677062054308,0.0052994484080807,0.3971043232859054,0.4654393264350923,0.0067584189672437,0.0834355828220859,0.28343558282208586
1,0,"10,-0.53",Equalized Odd,High,0.16580596827705035,0.8166574534733738,0.8000677062054308,0.0052994484080807,0.3971043232859054,0.4654393264350923,0.0067584189672437,0.060196560196560195,0.4594594594594595
2,0,"15,-0.39",Equalized Odd,High,0.17963156146495793,0.8166574534733738,0.8000677062054308,0.0052994484080807,0.3971043232859054,0.4654393264350923,0.0067584189672437,0.04791154791154791,0.47911547911547914
3,0,"20,-0.21",Equalized Odd,High,0.19404142421495393,0.8166574534733738,0.8000677062054308,0.0052994484080807,0.3971043232859054,0.4654393264350923,0.0067584189672437,0.05528255528255528,0.5835380835380836
4,0,"25,0.04",Equalized Odd,High,0.2103443813989446,0.8166574534733738,0.8000677062054308,0.0052994484080807,0.3971043232859054,0.4654393264350923,0.0067584189672437,0.09090909090909091,0.4557739557739558
5,0,"30,0.15",Equalized Odd,High,0.21751723040939533,0.8166574534733738,0.8000677062054308,0.0052994484080807,0.3971043232859054,0.4654393264350923,0.0067584189672437,0.09705159705159705,0.14987714987714987
6,0,"35,0.2",Equalized Odd,High,0.21638263295611315,0.8166574534733738,0.8000677062054308,0.0052994484080807,0.3971043232859054,0.4654393264350923,0.0067584189672437,0.1547911547911548,0.045454545454545456
7,0,"40,0.24",Equalized Odd,High,0.21221375238091494,0.8166574534733738,0.8000677062054308,0.0052994484080807,0.3971043232859054,0.4654393264350923,0.0067584189672437,0.2076167076167076,0.04914004914004914
8,0,"45,0.26",Equalized Odd,High,0.20086865775177826,0.8166574534733738,0.8000677062054308,0.0052994484080807,0.3971043232859054,0.4654393264350923,0.0067584189672437,0.39926289926289926,0.04176904176904177
9,0,"50,0.28",Equalized Odd,High,0.19556906823828552,0.8166574534733738,0.8000677062054308,0.0052994484080807,0.3971043232859054,0.4654393264350923,0.0067584189672437,0.4975429975429975,0.02334152334152334
10,0,"55,0.3",Equalized Odd,High,0.1986114133315675,0.8166574534733738,0.8000677062054308,0.0052994484080807,0.3971043232859054,0.4654393264350923,0.0067584189672437,0.5085995085995086,0.012285012285012284
11,0,"60,0.31",Equalized Odd,High,0.20512674387508012,0.8166574534733738,0.8000677062054308,0.0052994484080807,0.3971043232859054,0.4654393264350923,0.0067584189672437,0.4606879606879607,0.011056511056511056
12,0,"65,0.32",Equalized Odd,High,0.21990808821883773,0.8166574534733738,0.8000677062054308,0.0052994484080807,0.3971043232859054,0.4654393264350923,0.0067584189672437,0.4245398773006135,0.008588957055214725
13,0,"70,0.33",Equalized Odd,High,0.2445216668642446,0.8166574534733738,0.8000677062054308,0.0052994484080807,0.3971043232859054,0.4654393264350923,0.0067584189672437,0.41205412054120544,0.007380073800738007
14,0,"75,0.34",Equalized Odd,High,0.290071981305011,0.8166574534733738,0.8000677062054308,0.0052994484080807,0.3971043232859054,0.4654393264350923,0.0067584189672437,0.36486486486486486,0.013513513513513514
15,0,"80,0.38",Equalized Odd,High,0.5435667096305153,0.8166574534733738,0.8000677062054308,0.0052994484080807,0.3971043232859054,0.4654393264350923,0.0067584189672437,0.33783783783783783,0.056511056511056514
16,0,"85,0.68",Equalized Odd,High,0.04789953322960658,0.8166574534733738,0.8000677062054308,0.0052994484080807,0.3971043232859054,0.4654393264350923,0.0067584189672437,0.03558282208588957,0.9791411042944785
17,0,"90,0.85",Equalized Odd,High,0.0432990191625596,0.8166574534733738,0.8000677062054308,0.0052994484080807,0.3971043232859054,0.4654393264350923,0.0067584189672437,0.020910209102091022,1.0
18,0,"95,0.97",Equalized Odd,High,0.029780564263322883,0.8166574534733738,0.8000677062054308,0.0052994484080807,0.3971043232859054,0.4654393264350923,0.0067584189672437,0.07371007371007371,1.0
19,0,"100,1.09",Equalized Odd,High,,0.8166574534733738,0.8000677062054308,0.0052994484080807,0.3971043232859054,0.4654393264350923,0.0067584189672437,0.3918918918918919,1.0
20,0,"5,-0.74",Equalized Odd,Low,0.22730096348884382,0.8166574534733738,0.8000677062054308,0.0052994484080807,0.3971043232859054,0.4654393264350923,0.0067584189672437,0.0834355828220859,0.28343558282208586
21,0,"10,-0.53",Equalized Odd,Low,0.1365119276270324,0.8166574534733738,0.8000677062054308,0.0052994484080807,0.3971043232859054,0.4654393264350923,0.0067584189672437,0.060196560196560195,0.4594594594594595
22,0,"15,-0.39",Equalized Odd,Low,0.10793822549486977,0.8166574534733738,0.8000677062054308,0.0052994484080807,0.3971043232859054,0.4654393264350923,0.0067584189672437,0.04791154791154791,0.47911547911547914
23,0,"20,-0.21",Equalized Odd,Low,0.08918208477557202,0.8166574534733738,0.8000677062054308,0.0052994484080807,0.3971043232859054,0.4654393264350923,0.0067584189672437,0.05528255528255528,0.5835380835380836
24,0,"25,0.04",Equalized Odd,Low,0.09035081046285647,0.8166574534733738,0.8000677062054308,0.0052994484080807,0.3971043232859054,0.4654393264350923,0.0067584189672437,0.09090909090909091,0.4557739557739558
25,0,"30,0.15",Equalized Odd,Low,0.09520759634308301,0.8166574534733738,0.8000677062054308,0.0052994484080807,0.3971043232859054,0.4654393264350923,0.0067584189672437,0.09705159705159705,0.14987714987714987
