,pve
0,-0.13558555153536855
1,-4.308189183087618e-06
2,3.995647951034654e-05
3,-2.6732628369015793e-09
4,-0.0832801789785026
5,-0.1909770027476188
6,0.9275285469849242
7,-1.586429011629812e-05
8,0.19464613655929625
9,-1.5771535342821237e-06
10,-1.683208907006358e-09
11,-2.870654704752759e-05
12,-0.0545021257658313
13,-5.941319875862729e-05
14,-9.217031586677853e-10
15,-2.6179755165444095e-08
16,-0.17336102650963225
17,0.000742596697964235
18,0.07778218702020974
19,-5.293514936848283e-07
20,7.149517118741662e-05
21,0.19549836088652872
22,-0.3105737913063669
23,0.05007902705503009
24,-0.00018065724759186867
25,-2.8488544856900785e-11
26,0.10228253530267173
27,0.26824939904822953
28,-4.059952182130751e-06
29,-0.27141849336574847
30,-5.818424869960471e-09
31,0.028677365713432778
32,-0.05452743528508319
33,0.000121763364035243
34,-0.14524659978332755
35,-6.413692864635305e-05
36,1.0101968703291307e-07
37,0.06653079636995285
38,-0.17802941473614417
39,-0.017411079918337555
40,-4.6281363564533757e-07
41,1.0743220777592799e-05
42,-6.39108907166573e-06
43,-1.4624298611464726e-05
44,-0.1485079780060542
45,-0.0016895277601828409
46,-7.941488482353194e-07
47,-6.0204596252322345e-05
48,-0.059401295480725314
49,-0.29984785091351795
50,-0.23354286778353306
51,1.001869345299638
52,-0.2425539395284051
53,-0.028439362191041706
54,-0.00701222880708216
55,0.009430455935660498
56,-5.941431641849085e-06
57,2.4393383749439927e-08
58,-5.070781573795694e-10
59,-7.620601547970506e-06
60,0.06574248151839723
61,-0.01654377699434595
62,0.19109665895028372
63,-0.16403917990003647
64,0.07529320401038792
65,-0.13123817156550888
66,8.174225791058077e-09
67,-0.2371486662711061
68,-0.03799778335788062
69,-1.0643812766612106e-05
70,-1.899767900358117e-09
71,-6.081172313893977e-05
72,-1.3699633465114354e-05
73,0.9510317716268255
74,-9.049940137887203e-07
75,0.22645017790505345
76,-1.529146933801427e-05
77,-8.771266209049613e-05
78,1.4413487978535481e-05
79,-0.1049066985810424
80,-1.800037453953204e-05
81,-0.0679115586039184
82,0.1478591822298517
83,9.913400761993508e-05
84,-6.845791745895814e-06
85,-0.16841156800229473
86,0.08881269485097887
87,2.911834876500825e-06
88,-0.021962861101967934
89,0.0010523250192476458
90,0.06355352655708357
91,0.5331304669765474
92,-0.0005663780290566539
93,0.09560830469691983
94,0.31704473728784777
95,-0.027209476725209597
96,-0.08532678075933642
97,-1.2326141069889571e-06
98,2.7726927073367955e-05
99,-0.09059055846042469
100,-0.0016932576841829196
101,-0.023655177787658035
102,-0.03579890291976673
103,-0.04262640239572909
104,0.036265112031279995
105,-0.30332021877861925
106,-5.266475281700904e-06
107,-0.05969233382273126
108,-0.0847653438757423
109,0.305770096599844
110,0.047189438689024366
111,-6.539921921891527e-06
112,2.4687018812038595e-08
113,-0.027936396085921578
114,-1.4975462189678524e-05
115,-0.14293876151854723
116,-3.8703984010283035e-06
117,0.40077943153155726
118,0.03507652667805426
119,-0.22432160844546553
120,0.09943474411570735
121,0.07259717774237345
122,0.004739417348581965
123,-0.0642040963484084
124,-0.006650176369895733
125,0.16501209737653771
126,0.007252600833105501
127,0.15567687900374216
128,9.649133762801945e-09
129,-4.322160648076465e-06
130,-8.918402954442967e-05
131,-0.46138147697397136
132,-0.25612177162964145
133,-8.019872187051859e-06
134,-9.017328788096099e-07
135,-0.01649409512981026
136,3.46084184748238e-05
137,-4.2580184843330134e-07
138,-0.007476020134698433
139,-9.822855799398428e-07
140,-0.0005257760833414574
141,-0.0008855879256600141
142,-1.814396411161358e-10
143,-4.0840517718951634e-09
144,0.07013552433570941
145,-0.3352802542936508
146,0.05327641154840604
147,0.0001028593389276945
148,-8.382094387519855e-09
149,-0.2552923316502538
150,-0.1661594057872463
151,-0.0004979021178389562
152,-6.191024834719297e-06
153,0.16302714514337058
154,5.689958558563301e-07
155,0.039755354197675286
156,-0.08561258596947638
157,-0.4225636121179549
158,-0.05973693760583354
159,0.1433712765618565
160,-1.6851840481884453e-05
161,6.649977031545194e-05
162,-2.512993907508526e-06
163,0.0311100851953221
164,-1.8916376678817687e-07
165,-6.613188902311235e-10
166,-5.126114639296022e-05
167,-3.6492044457760834e-06
168,-0.14591724251634475
169,0.35851715337071943
170,-2.5009164649618418e-08
171,-0.01132784364571926
172,0.2479234444975909
173,-1.582870196655567e-06
174,0.08929326459447567
175,-1.45796208585939e-09
176,-2.4769835239211236e-05
177,-2.9757333669181172e-05
178,4.710318976047493e-05
179,-4.2950574689423484e-08
180,-0.02723912290421515
181,-5.15561017430679e-09
182,-0.03740483547854889
183,0.10677156924445419
184,0.08533141228935912
185,-6.240273195812676e-05
186,0.3158664576558628
187,-0.12559688786669618
188,0.24580136123115362
189,0.4175815375053865
190,-8.466048185425311e-08
191,0.2891193765863232
192,0.1310895941595096
193,-0.3394206693569166
194,-0.28941902927682234
195,-0.09644156579305208
196,0.021359054067711075
197,-0.0013375997722886706
198,0.1615352066168576
199,6.658670294721913e-10
200,2.3947821338043957e-06
201,-2.3428716981272913e-05
202,0.14694222442924454
203,0.011737754389550631
204,1.0331028308387693e-08
205,-0.0002558028575009476
206,-2.1349435649917638e-07
207,-4.501153433924313e-06
208,-0.0021760805656475582
209,3.769765732129487e-05
210,0.2967422976000831
211,0.36295124447799176
212,-0.1730832706098569
213,-0.0007905836331320552
214,0.20482512104145412
215,-2.5238086160779318e-05
216,0.026700003421897767
217,-0.22614974091013063
218,0.4654016987218273
219,0.024541377375105533
220,7.433028503681795e-07
221,0.6518840513764627
222,0.21823529299538813
223,7.725863339553388e-06
224,0.00014667194570549996
225,-6.84040861755534e-06
