id_scenario,acc_train_mean,acc_train_sd,acc_test,f1_train_mean,f1_train_sd,f1_test,log_loss_train_mean,log_loss_train_sd,log_loss_test,demp,eqopp,eqodd
0,0.7662237752806615,0.007677201038142302,0.7611326085621276,0.6333146404316626,0.009475220814882543,0.6246501302963033,0.4374591815348556,0.008176596214421562,0.4451363870161551,0.2467963519505798,-0.08712025793866596,0.14595644954029846
1,0.7662544830958005,0.007615527806869689,0.7611940298507462,0.6333440892023635,0.009417424361331516,0.6247104247104247,0.4374587896267775,0.008178054438524427,0.4451359085202196,0.24671593377607237,-0.08712025793866596,0.14589069467443838
2,0.7662544878113741,0.0076977157216854405,0.7611326085621276,0.6333454366882512,0.0095041097013401,0.6246501302963033,0.4374815401614806,0.008168059453670655,0.44515160438561374,0.2467963519505798,-0.08712025793866596,0.14595644954029846
3,0.766285195626513,0.007626783634719895,0.7611940298507462,0.6333747710400617,0.009431743791428297,0.6247104247104247,0.43747194240877396,0.008172253240579807,0.4451465215503752,0.24671593377607237,-0.08712025793866596,0.14589069467443838
4,0.7661009204422378,0.007497130838567015,0.7608255021190344,0.63294122110758,0.009366523073196062,0.6239860950173812,0.43767658374128265,0.008145092710687727,0.4452723180829021,0.24639426107804263,-0.08625332860866797,0.14530366735587674
5,0.7663773285030769,0.0076311965373476315,0.7611326085621276,0.6334309304233723,0.009451113098542463,0.6244326412361177,0.4376064601095361,0.008114787043145846,0.44519380743366627,0.24665427147845864,-0.08583933564654833,0.14511872379665944
6,0.7610948958254348,0.006260045777848328,0.7550519009888828,0.6249789025843835,0.007756422421849309,0.6136407672931602,0.44218250783352675,0.007403632815260968,0.4488257097446542,0.24366004314478973,-0.10140301513179362,0.1550704741126645
7,0.7668379881703234,0.007410782392331789,0.761562557582458,0.6330339180760627,0.009409924001022394,0.6236183827806864,0.43907032501375415,0.007592037407376541,0.44644472091720894,0.24539969777319443,-0.08365254061867389,0.14310516206034862
8,0.7744234268186364,0.0027963720284284736,0.7671518948467538,0.5346888996139824,0.005068889094683281,0.5178684980287422,0.4892625116545635,0.0035355304160660573,0.49372186561227716,0.04693303775576836,-0.3355160352104523,0.18546247484808423
9,0.7697247538564904,0.004993299525767108,0.7639579878385848,0.6224453978366224,0.005922604752436482,0.6128739800543971,0.46369449327514756,0.0047771267731559226,0.4700866322229399,0.22653329293606003,-0.08353360535243781,0.13276830582922128
10,0.6692054937563919,4.5952247112046086e-05,0.6670351943983784,0.0,0.0,0.0,0.6352003779847233,2.9013710982981444e-05,0.6364546011672844,0.0,0.0,0.0
11,0.6718159456931911,0.0007559854557847835,0.6688164117683189,0.01637400844313807,0.004837813090856529,0.011730205278592374,0.5647919552509781,0.001284966596345907,0.5679001689073218,0.0028146361077603537,0.006623887393914303,0.0035092082945373726
12,0.7679128795895263,0.006978837584843608,0.7619925066027885,0.6350239187256411,0.00864031993140456,0.6255676876992946,0.435390067290857,0.009337762002229624,0.44401286708738924,0.24753347673110784,-0.0793056145164176,0.14141363209241609
13,0.7678821717743873,0.0070408990381101,0.7619925066027885,0.6349942412023843,0.008698668323029074,0.6255676876992946,0.43539046821045313,0.0093381731504414,0.44401337996481327,0.24753347673110784,-0.0793056145164176,0.14141363209241609
14,0.7679435874046653,0.006967852119740572,0.7620539278914071,0.6351222246238053,0.008801110227098312,0.625772797527048,0.4353760587732225,0.009346245992460823,0.44400717556005787,0.24777473125463015,-0.07889162155429796,0.14127239047721632
15,0.7679128795895263,0.006988967231790476,0.7619925066027885,0.6349886590393946,0.00865679135680631,0.6254953126510099,0.4353936002405724,0.009327401490729146,0.44401191737505386,0.24737264038209297,-0.07951261099747742,0.14145137546708592
16,0.7675136261214105,0.007035646965946861,0.7616239788710767,0.6345147122847973,0.009071500046649209,0.6246978048544628,0.43542788637220325,0.009214501908311601,0.4440013451043326,0.2468901313350483,-0.08075458988383644,0.14207236491026543
17,0.7680664328119418,0.006894072174915279,0.7618696640255512,0.6351740956558323,0.008691652676830563,0.6251571110896258,0.4354194001216334,0.009245598170376245,0.4440082481569871,0.24705096768406323,-0.08013360044065698,0.14169611532281562
18,0.7618934121928134,0.0069393177612486825,0.7553590074319759,0.6256273372716976,0.00860455730922892,0.6141625496464206,0.4392474587804743,0.00810533574381512,0.44671306740021416,0.24442131846914406,-0.0969782022180199,0.15272655792405748
19,0.7676364573819664,0.006699326808790011,0.7624224556231189,0.6331190809455447,0.007973076908600307,0.6236621910877601,0.43651762849253556,0.0083736755799699,0.44481513784399485,0.24318550064077354,-0.085929501910332,0.1430384060985213
20,0.7744234268186364,0.0027963720284284736,0.7671518948467538,0.5346888996139824,0.005068889094683281,0.5178684980287422,0.48773722704789224,0.003730657279842511,0.4927466683340656,0.04693303775576836,-0.3355160352104523,0.18546247484808423
21,0.7709532220759766,0.005437338097268229,0.7656777839199066,0.621222670314077,0.006176665535059137,0.6127296721145061,0.4625533868607695,0.004892718901871259,0.4691372890393311,0.22076194024841814,-0.08659960916257647,0.13088205470956676
22,0.6692054937563919,4.5952247112046086e-05,0.6670351943983784,0.0,0.0,0.0,0.6347403813348849,3.213283339015028e-05,0.6362647031561565,0.0,0.0,0.0
