id_scenario,acc_train_mean,acc_train_sd,acc_test,f1_train_mean,f1_train_sd,f1_test,log_loss_train_mean,log_loss_train_sd,log_loss_test,demp,eqopp,eqodd
0,0.8200608610788251,0.0018375581543764166,0.8193599901725939,0.5346505622739998,0.005695830480040426,0.5254155236404712,0.394161144743052,0.006055259815711749,0.39245939901321125,0.17389398298615677,0.3238204306000916,0.19828027829514006
1,0.8200915736095377,0.0018824505871648945,0.8193599901725939,0.5346934742383092,0.005751231599795947,0.5254155236404712,0.3941586253050411,0.006056674351077974,0.3924573231792647,0.17389398298615677,0.3238204306000916,0.19828027829514006
2,0.8202451315475268,0.001876182053926482,0.8193599901725939,0.53482971164677,0.005935793680676614,0.5252623083131558,0.39420791859261944,0.006038317553262617,0.3925007128122334,0.17370982092354167,0.3235133052929663,0.19806096077571733
3,0.8201529939553892,0.0018152026615022143,0.8192371475953566,0.5347777701052209,0.005659978030274516,0.5249394673123486,0.3941822753201569,0.006052648219897428,0.39247960676645577,0.17370982092354167,0.323206179985841,0.19797315298801477
4,0.8199687282022612,0.0016269832771960186,0.8188071985750262,0.5318454401346416,0.005507186972176922,0.5211038961038962,0.3946702784031518,0.005926819542252627,0.3928665044907698,0.17186972903615058,0.3207606296589347,0.19633756902169053
5,0.8200915736095377,0.001701507942227831,0.8191143050181193,0.5337999359981368,0.00577629495539817,0.523385661110212,0.39446898954463616,0.006031377561388046,0.39278976728772785,0.17278962210597013,0.3244461333444384,0.19813284560629293
6,0.817081830480034,0.0010335946028916306,0.8170259812050856,0.4998005874951289,0.0054453126546133886,0.4920716112531969,0.40114530346405264,0.005173788117692979,0.3991757261290761,0.1530022900506624,0.2950308166409862,0.1777738212683462
7,0.8184331629690911,0.0013072242719252046,0.8183772495546957,0.5190020150320036,0.006397919725498085,0.51228764637968,0.39738969600624363,0.005614449303432533,0.39550452296193195,0.1657033574160646,0.3168023570565943,0.19207647618237697
8,0.7591904454179903,5.213123215280247e-05,0.7637737239727289,0.0,0.0,0.0,0.5223633741031651,0.0009108564385322021,0.517303701474779,0.0,0.0,0.0
9,0.8022481638499602,0.001843303792700156,0.8047417234813586,0.3754859323246333,0.008590352298829268,0.3748279252704031,0.4222843091075832,0.0036356418684760413,0.4196681381380464,0.09998440686464853,0.22061695748136426,0.1265755737808134
10,0.7591904454179903,5.213123215280247e-05,0.7637737239727289,0.0,0.0,0.0,0.5526197809811242,5.430550110658234e-05,0.5474670015821912,0.0,0.0,0.0
11,0.7629372798534475,0.0005340128756646388,0.7678889503101775,0.03063599416491377,0.003975991362697738,0.034244824942499356,0.4980014880335098,0.0011299112524086972,0.4939210096639009,0.005339782572581968,0.014571273893307791,0.007285636946653896
12,0.8241454861963844,0.0018007854998869197,0.8239665868189915,0.550469632979607,0.004798465233104025,0.5415866922584773,0.3857210321159132,0.007658426108079826,0.3850417771680733,0.1739805605579285,0.2977366426518969,0.1854271011943919
13,0.8242069065422358,0.0018044069198093237,0.8239051655303729,0.5506284646436728,0.004615610759267218,0.5415000799616184,0.38572184192876136,0.007659601895386566,0.38504288346983,0.17407264158923605,0.2977366426518969,0.18549285606025198
14,0.8240533533198203,0.001682053164901474,0.8239051655303729,0.550056179316126,0.004713225810924433,0.541059708660157,0.3857524022726718,0.007631040465686536,0.3850686007212937,0.1737967042430654,0.29881730729188355,0.18583592378266506
15,0.824206915973383,0.0017835178848997367,0.823536637798661,0.5504833441661726,0.005037281464334401,0.5408342656225028,0.3857600642629181,0.007642824602944436,0.3851584083256101,0.17444096571446624,0.29742951734477163,0.1856680677359897
16,0.8240226313579607,0.0014155747081526075,0.8240894293962288,0.5480312258342038,0.003209571698215781,0.5392535392535392,0.3860314477736405,0.007258140351894101,0.3853356260927411,0.17232493648090452,0.2965195935534919,0.18424624661940792
17,0.8236540998517047,0.001865845226690902,0.8236594803758983,0.5474372953543718,0.004893099701016147,0.5396825396825398,0.38622200384540595,0.0073841311365977986,0.385538787794025,0.17370554045501382,0.298669470703369,0.18590324710360756
18,0.8215350012505701,0.0022147432583450965,0.8217554204287206,0.5166672748275025,0.006342198973417214,0.508302270416808,0.3928407601761628,0.005627503015310984,0.39190700676543194,0.15309070210894607,0.2785022696039645,0.1690407159645838
19,0.8211357807914694,0.0023711450839921403,0.8209569436766784,0.5301699126234916,0.0056899796620347755,0.5187386494964503,0.3910954793433067,0.006332746587772034,0.39043773422361483,0.16598051775324324,0.3083163286553117,0.18794787626499376
20,0.7591904454179903,5.213123215280247e-05,0.7637737239727289,0.0,0.0,0.0,0.5209264075431387,0.0008045449848793377,0.5167500087752559,0.0,0.0,0.0
21,0.8016339273824303,0.0019006002399329636,0.8044960383268841,0.36914820968987155,0.008139540455221453,0.3713213509776812,0.42052721028778384,0.003877119274834731,0.418310704074722,0.0985117218592317,0.21862636905009786,0.12515773887882956
22,0.7591904454179903,5.213123215280247e-05,0.7637737239727289,0.0,0.0,0.0,0.552012349040706,5.942765660368699e-05,0.5467472922274053,0.0,0.0,0.0
23,0.7627530093847459,0.0006221915206795228,0.768134635464652,0.02914821490458605,0.004751684997131999,0.03625223385243809,0.4973813802795651,0.0010280676027417683,0.4929463799299155,0.00543155785613753,0.013797734560446424,0.006898867280223212
24,0.8250361684493421,0.002053053070235465,0.8245807997051778,0.5564064176376461,0.004475449157481551,0.5462345090562439,0.3842461143765619,0.008746263158651714,0.3837744818834177,0.17480592661442457,0.28970557614625414,0.18195588647616173
25,0.8252204436336172,0.0019757519917539225,0.8245807997051778,0.5560426964930144,0.004537934248636429,0.5462345090562439,0.38413052277664483,0.00878512402296463,0.3837775768863067,0.17480592661442457,0.28970557614625414,0.18195588647616173
26,0.8249747433879171,0.0020612808684268534,0.8244579571279406,0.5561811619247974,0.004559097789261097,0.5456279809220984,0.3842487492470037,0.008698265818850456,0.38378024030055824,0.17443760248919438,0.28878420022487816,0.18142944364961366
