,id_scenario,threshold,metric,value_metric,acc_test,acc_train_mean,acc_train_sd,log_loss_test,log_loss_train_mean,log_loss_train_sd,portion_pos,portion_unpr
0,0,"[0,5) 
 [-1.89,-0.55)",Equalized Odd,0.7980346320346321,0.8042590753613593,0.8003734900215975,0.0036597701586437,0.4537290232737144,0.4544810583623215,0.4544810583623215,0.6008820286659317,0.4652701212789416
1,0,"[5,10) 
 [-0.55,-0.36)",Equalized Odd,0.449089108840992,0.8042590753613593,0.8003734900215975,0.0036597701586437,0.4537290232737144,0.4544810583623215,0.4544810583623215,0.6508810572687225,0.4724669603524229
2,0,"[10,15) 
 [-0.36,-0.25)",Equalized Odd,0.25796900753996177,0.8042590753613593,0.8003734900215975,0.0036597701586437,0.4537290232737144,0.4544810583623215,0.4544810583623215,0.6145374449339207,0.4713656387665198
3,0,"[15,20) 
 [-0.25,-0.17)",Equalized Odd,0.28429677346302173,0.8042590753613593,0.8003734900215975,0.0036597701586437,0.4537290232737144,0.4544810583623215,0.4544810583623215,0.522075055187638,0.5231788079470199
4,0,"[20,25) 
 [-0.17,-0.11)",Equalized Odd,0.23191882482360496,0.8042590753613593,0.8003734900215975,0.0036597701586437,0.4537290232737144,0.4544810583623215,0.4544810583623215,0.5980066445182725,0.4739756367663344
5,0,"[25,30) 
 [-0.11,-0.06)",Equalized Odd,0.18583356789518285,0.8042590753613593,0.8003734900215975,0.0036597701586437,0.4537290232737144,0.4544810583623215,0.4544810583623215,0.5071664829106945,0.5722160970231532
6,0,"[30,35) 
 [-0.06,-0.01)",Equalized Odd,0.1104954481792717,0.8042590753613593,0.8003734900215975,0.0036597701586437,0.4537290232737144,0.4544810583623215,0.4544810583623215,0.5414364640883977,0.5469613259668509
7,0,"[35,40) 
 [-0.01,0.04)",Equalized Odd,0.08337700286817189,0.8042590753613593,0.8003734900215975,0.0036597701586437,0.4537290232737144,0.4544810583623215,0.4544810583623215,0.46644664466446645,0.5005500550055005
8,0,"[40,45) 
 [0.04,0.08)",Equalized Odd,0.030132915146923206,0.8042590753613593,0.8003734900215975,0.0036597701586437,0.4537290232737144,0.4544810583623215,0.4544810583623215,0.5513812154696133,0.5016574585635359
9,0,"[45,50) 
 [0.08,0.11)",Equalized Odd,0.10396475668684013,0.8042590753613593,0.8003734900215975,0.0036597701586437,0.4537290232737144,0.4544810583623215,0.4544810583623215,0.4801762114537445,0.5330396475770925
10,0,"[50,55) 
 [0.11,0.15)",Equalized Odd,0.02362912806461198,0.8042590753613593,0.8003734900215975,0.0036597701586437,0.4537290232737144,0.4544810583623215,0.4544810583623215,0.5287610619469026,0.48672566371681414
11,0,"[55,60) 
 [0.15,0.18)",Equalized Odd,0.09569204773428239,0.8042590753613593,0.8003734900215975,0.0036597701586437,0.4537290232737144,0.4544810583623215,0.4544810583623215,0.3898678414096916,0.46365638766519823
12,0,"[60,65) 
 [0.18,0.22)",Equalized Odd,0.20796634752473073,0.8042590753613593,0.8003734900215975,0.0036597701586437,0.4537290232737144,0.4544810583623215,0.4544810583623215,0.5011061946902655,0.4834070796460177
13,0,"[65,70) 
 [0.22,0.25)",Equalized Odd,0.13386327134306442,0.8042590753613593,0.8003734900215975,0.0036597701586437,0.4537290232737144,0.4544810583623215,0.4544810583623215,0.40507726269315675,0.4988962472406181
14,0,"[70,75) 
 [0.25,0.29)",Equalized Odd,0.18234660310625747,0.8042590753613593,0.8003734900215975,0.0036597701586437,0.4537290232737144,0.4544810583623215,0.4544810583623215,0.5143487858719646,0.5055187637969095
15,0,"[75,80) 
 [0.29,0.33)",Equalized Odd,0.19164463345497826,0.8042590753613593,0.8003734900215975,0.0036597701586437,0.4537290232737144,0.4544810583623215,0.4544810583623215,0.5446527012127894,0.545755237045204
16,0,"[80,85) 
 [0.33,0.38)",Equalized Odd,0.43340636579541914,0.8042590753613593,0.8003734900215975,0.0036597701586437,0.4537290232737144,0.4544810583623215,0.4544810583623215,0.5715859030837004,0.5550660792951542
17,0,"[85,90) 
 [0.38,0.42)",Equalized Odd,0.7352265487576681,0.8042590753613593,0.8003734900215975,0.0036597701586437,0.4537290232737144,0.4544810583623215,0.4544810583623215,0.535675082327113,0.5203073545554336
18,0,"[90,95) 
 [0.42,0.48)",Equalized Odd,0.8238082061482996,0.8042590753613593,0.8003734900215975,0.0036597701586437,0.4537290232737144,0.4544810583623215,0.4544810583623215,0.5617352614015573,0.5372636262513905
19,0,"[95,100) 
 [0.48,0.62)",Equalized Odd,0.9811160513476742,0.8042590753613593,0.8003734900215975,0.0036597701586437,0.4537290232737144,0.4544810583623215,0.4544810583623215,0.4531422271223815,0.4520396912899669
20,0,"[0,5) 
 [-1.89,-0.55)",Equalized Opportunity,0.7653333333333334,0.8042590753613593,0.8003734900215975,0.0036597701586437,0.4537290232737144,0.4544810583623215,0.0047257849211193,0.6008820286659317,0.4652701212789416
21,0,"[5,10) 
 [-0.55,-0.36)",Equalized Opportunity,0.33515535097813576,0.8042590753613593,0.8003734900215975,0.0036597701586437,0.4537290232737144,0.4544810583623215,0.0047257849211193,0.6508810572687225,0.4724669603524229
22,0,"[10,15) 
 [-0.36,-0.25)",Equalized Opportunity,0.15302449785208405,0.8042590753613593,0.8003734900215975,0.0036597701586437,0.4537290232737144,0.4544810583623215,0.0047257849211193,0.6145374449339207,0.4713656387665198
23,0,"[15,20) 
 [-0.25,-0.17)",Equalized Opportunity,0.14697723014843633,0.8042590753613593,0.8003734900215975,0.0036597701586437,0.4537290232737144,0.4544810583623215,0.0047257849211193,0.522075055187638,0.5231788079470199
