dataset,model,pr(Y=1|S=0),DP,"t(P(S=1), DP)",I_v(X_to_S)
dutch_census,sgd_lr,0.17,0.3138660294967252,0.0123294204016081,0.1345720231851891
dutch_census,mlp_one_layer,0.17,0.3489309782241824,0.0152431272901496,0.1802154957077149
dutch_census,mlp_two_layer,0.17,0.3551606557204588,0.015793243981015,0.1792553568013263
dutch_census,sgd_lr,0.1899999999999999,0.3077468134927836,0.011852722155519,0.1326710886303584
dutch_census,mlp_one_layer,0.1899999999999999,0.3235077397562308,0.0130996788669041,0.1640184146063994
dutch_census,mlp_two_layer,0.1899999999999999,0.3287579481865467,0.0135289655672205,0.1750553186278057
dutch_census,sgd_lr,0.2099999999999999,0.3024801673403941,0.0114499951720658,0.1280820431768881
dutch_census,mlp_one_layer,0.2099999999999999,0.3216458937693582,0.0129491134777274,0.1714602091847723
dutch_census,mlp_two_layer,0.2099999999999999,0.3207440107515852,0.0128764934601069,0.1684216578980453
dutch_census,sgd_lr,0.2299999999999999,0.2814550057904615,0.0099118577314066,0.1150825964671913
dutch_census,mlp_one_layer,0.2299999999999999,0.3052824701995058,0.0116634102400313,0.1633287999975767
dutch_census,mlp_two_layer,0.2299999999999999,0.2994602290410277,0.0112222200974205,0.1564113270881059
dutch_census,sgd_lr,0.25,0.2631874364956004,0.0086657700892251,0.1093910913321436
dutch_census,mlp_one_layer,0.25,0.279282158101956,0.0097592424886112,0.1633177208452198
dutch_census,mlp_two_layer,0.25,0.28493235110273,0.010158569572089,0.1650338472201385
dutch_census,sgd_lr,0.27,0.2539674085996901,0.008068707369056,0.1056961812847405
dutch_census,mlp_one_layer,0.27,0.2857553330545495,0.0102174040943175,0.1562713944524695
dutch_census,mlp_two_layer,0.27,0.2679879088499818,0.0089850954126089,0.1468718974550265
dutch_census,sgd_lr,0.29,0.2377657322150422,0.0070712843420147,0.1037301948209564
dutch_census,mlp_one_layer,0.29,0.2602124279699019,0.008470781856142,0.1540638320917669
dutch_census,mlp_two_layer,0.29,0.2578041921013019,0.0083145706092194,0.1457046260252856
