id_scenario,acc_train_mean,acc_train_sd,acc_test,f1_train_mean,f1_train_sd,f1_test,log_loss_train_mean,log_loss_train_sd,log_loss_test,demp,eqopp,eqodd
0,0.8215585750984867,0.0013032399802549752,0.8263268233476774,0.8289091720686181,0.0010743295513406382,0.8356307435254804,0.40496160135122217,0.0030565106665726366,0.40124783789228735,-0.354022507844081,-0.23977055010479298,0.16668375235410704
1,0.8272567683587821,0.002228485023509613,0.8330574864835043,0.8352579463991432,0.00202071316982489,0.8424450692491929,0.3919378779886419,0.003590309819304074,0.38641072210564226,-0.35329530301954376,-0.2286050615569878,0.16179689431397087
2,0.8302832510149872,0.0024991835557639347,0.8366986649012468,0.8377269080683621,0.0016683946531657599,0.8451396881866695,0.385319917384753,0.0026366575031958367,0.3796312334319665,-0.3719453233146513,-0.2513814797381203,0.1794308111869266
3,0.8314181453214958,0.002864626817578141,0.8385744234800838,0.839496744159124,0.003365333745851993,0.8470625130671127,0.38311548547973134,0.0035003294312071975,0.3775155880254886,-0.37170292170647223,-0.247737185323454,0.17806122660453264
4,0.8226226620323852,0.0074111744160963045,0.8327816396336754,0.8360275057008457,0.004118302787743949,0.838217240459034,0.3961405729196431,0.006721255992205492,0.38891514032225455,-0.4241572270308039,-0.3252345798450976,0.23805490173719085
5,0.4954835630594163,0.024843059245425923,0.526922652543308,0.27461666781590294,0.37603436080248454,0.6901759583769917,0.6934654689158788,0.0010902614038046147,0.7035305552337295,0.0,0.0,0.0
6,0.8260273421565153,0.0017252985718856251,0.8311265585347015,0.8333857250797508,0.0016400523282613618,0.8397466101251244,0.3937760369235569,0.0032529261478932044,0.38855754497644485,-0.359932636023246,-0.23806236695955452,0.17015294931603356
7,0.8290064708098773,0.002417040700704884,0.8336091801831623,0.8359532127166579,0.0019004869153743456,0.8416631667366653,0.38508593372924,0.003303860557273724,0.3804063599985677,-0.36849362084881765,-0.25077402500815615,0.1775040725569716
8,0.833002329598899,0.004656354540197352,0.840946706388613,0.8410217389966282,0.0026596701072192515,0.8510770184410352,0.37762670288938505,0.003604650915244524,0.37087922891960007,-0.3691118983684137,-0.23308367802218366,0.1747039869226737
9,0.8325058757120677,0.003808288593294544,0.8392364559196734,0.8404288741159147,0.00401366006581319,0.8508242039520836,0.37945219035931355,0.0022498163912198334,0.37288649002220736,-0.3504721790458056,-0.20414534089744185,0.15624933194754856
10,0.8226462076502097,0.005183623760279682,0.8357607856118283,0.8342777001341706,0.007311531711856935,0.8472158070310495,0.39753746704878506,0.006800103881223461,0.38583350274410627,-0.35174511624318705,-0.22138238720740266,0.15907730170013923
11,0.5136191677598294,0.020268773590960208,0.526922652543308,0.5492236017287342,0.3070253300144194,0.6901759583769917,0.6956504362582162,0.005657465869609999,0.6942587823898823,0.0,0.0,0.0
12,0.8281552784156793,0.0015561261207492569,0.8333885027032991,0.8349603204416289,0.0014723779504061526,0.8413532254675351,0.38893852232281806,0.002872470180829325,0.3844948456662397,-0.3682873822292006,-0.2481048019976282,0.17755864176417985
13,0.8323166386060189,0.0029301578251067755,0.8392916252896392,0.8404163804721015,0.0023811555105384278,0.849418454380977,0.3788495279007106,0.0033435988332147404,0.3708777423872757,-0.34948613489101565,-0.21572671268432786,0.15394394762877986
14,0.8329787644133048,0.002607567566347838,0.8386847622200154,0.8416779966769948,0.0021779931898478506,0.849912739965096,0.38574489734389295,0.003197721449795463,0.3758196358547047,-0.318753512193283,-0.1765896648603109,0.12107984080272977
15,0.8323876164977656,0.0035541864331550947,0.8387399315899813,0.8398222206225009,0.0045915056214322165,0.8477842003853564,0.3833550132184361,0.004555496328323623,0.3746540362117358,-0.34722956440474845,-0.21869189990604165,0.15121370366203327
16,0.8229772691561548,0.004776226879205516,0.8341608738828202,0.8354461901971184,0.003719595109319983,0.8397312859884837,0.39999043540814244,0.005832140076121936,0.38966200871751067,-0.41938678091541015,-0.3234100940479563,0.2316351190615087
17,0.5800099940986402,0.12816656126116613,0.5290190886020082,0.5782373534410737,0.32583011017477204,0.6909906975060629,0.6816665975671846,0.10661123892350212,0.6991685278570553,0.003912397023150493,0.0009657170449058894,0.006134059885306242
