id_scenario,acc_train_mean,acc_train_sd,acc_test,f1_train_mean,f1_train_sd,f1_test,log_loss_train_mean,log_loss_train_sd,log_loss_test,demp,eqopp,eqodd
0,0.6411168787840132,0.012462425219456893,0.6503464203233257,0.5291866938562833,0.01873945721813059,0.5528647371529829,0.6400441243891664,0.013728614720620506,0.6284057999502454,-0.31672162653913244,-0.37395357182177386,0.2939088073777921
1,0.6684510690910519,0.008173113172112676,0.6757505773672056,0.5682477106491461,0.01145773058271729,0.5974770642201835,0.6171020706075617,0.009325526952294955,0.598385936533602,-0.3284483906315606,-0.3651580702906145,0.29800837324906393
2,0.6724110726236152,0.008609037446007555,0.6868360277136258,0.5983631233637545,0.0038314650554033473,0.6266519823788546,0.6104422523964099,0.005910270389334371,0.5874911701468055,-0.2910961592948751,-0.2864103996509527,0.25392374484634694
3,0.6714219548813157,0.009028738986617406,0.68729792147806,0.5795323645148005,0.02022281628723766,0.6084441873915558,0.6150970841261999,0.007263345826158664,0.5894166908396203,-0.22598748553462983,-0.23122749644224616,0.1892347977142656
4,0.6658760266512281,0.00740603252200029,0.6969976905311779,0.6055427230020699,0.014270615814327694,0.6639344262295083,0.6172382271969871,0.005770970565020851,0.5897478997613671,-0.3254469330001605,-0.29884316931646265,0.28368664130700894
5,0.5462483195792325,0.03576589620096844,0.5381062355658198,0.38703871201429324,0.35346558540677614,0.0,0.6923629988092332,0.01068172154019808,0.6938668034640922,0.0,0.0,0.0
6,0.659936021352383,0.01273769113460961,0.6683602771362587,0.5663977603179275,0.015834622801330397,0.586405529953917,0.6236781968410127,0.0034435260690963824,0.6098556568284449,-0.3247974848177619,-0.3481460942182932,0.2950852713190452
7,0.6702334435623939,0.008288236277117667,0.6854503464203233,0.593353828375582,0.006484548611687516,0.6214563646470261,0.6105324205152292,0.006137203032369639,0.5886184801760748,-0.2884189990475897,-0.293301636362895,0.25237532623153697
8,0.6611217851220207,0.007702370501922696,0.6863741339491917,0.582030601043865,0.011866509021965559,0.6303756124115405,0.6238902706775971,0.01300899851515156,0.595657857482553,-0.2549506555927644,-0.25913088864332345,0.217862999479682
9,0.6559707189747717,0.013982861185497507,0.6831408775981525,0.5848030732685484,0.024827746544943765,0.6485655737704918,0.6556144798749213,0.027490128522350315,0.6025644158687259,-0.17024503227612386,-0.13384086544146734,0.12877195329318447
10,0.6613221599662444,0.016521193915503923,0.6863741339491917,0.6045531432967043,0.015787239757470428,0.6204583566238122,0.6256892439318581,0.018585687348504305,0.5968570585152971,-0.2644551291898369,-0.2740387948083299,0.22829101338508323
11,0.6114213661207548,0.08579061343227526,0.558891454965358,0.5446260110981973,0.1733013581203676,0.09649952696310311,0.6675438099458599,0.04334827277112227,0.661501659283707,-0.02277933099156486,-0.032543763430775696,0.01856764796464247
12,0.6682554043313153,0.01260606238921734,0.6803695150115473,0.580848831200014,0.014755790575847007,0.608154020385051,0.6182197765246651,0.0071278483821159,0.599142788707229,-0.3209357857042886,-0.31987979073475264,0.2863486610203281
13,0.6708278954753751,0.0061562270234132785,0.6886836027713625,0.5998678346694538,0.013439245147363247,0.6304824561403508,0.6104681582926403,0.007802741373055495,0.5866892072318156,-0.28366121505695685,-0.2969552151166821,0.247225371422384
14,0.6585471351892375,0.01191883424784142,0.6868360277136258,0.5970334909363261,0.017503788346027373,0.6266519823788546,0.6308522489481005,0.020953335265368574,0.5930711668504999,-0.278162667567872,-0.2864103996509527,0.24176661902643046
15,0.655775054215035,0.010885591694588272,0.6836027713625866,0.5757182295881375,0.030138793322342088,0.6271094175285792,0.6913962037753462,0.04947758299179308,0.632122479030577,-0.2567982972680506,-0.2497808260513213,0.21954604808827244
16,0.6652856960621731,0.02072638348828275,0.6729792147806004,0.6072091402472738,0.016156095574822314,0.5785714285714286,0.6256007000953007,0.028325542587015053,0.6128211146793463,-0.29554586077059886,-0.3240349210362137,0.26519277357714083
17,0.573170181240126,0.061003653873964454,0.5884526558891455,0.4241498698569029,0.19092977459894153,0.2630272952853598,0.7635103482921315,0.09533884338297068,0.642158744064773,-0.14388050836175204,-0.1897292029408047,0.13599459550737314
